id,title,speakers,format,block,Horario,time_start,duration,time_end,video,slides,description
a1,Bienvenida + ¿Qué debería saber una Product Manager sobre Arquitectura de Software?,Perla Velasco-Elizondo,session,h1-a-2023,9:00 - 10:00,2023-05-17T09:00:00-06:00,60,2023-05-17T10:00:00-06:00,,,"Aunque como Product Manager una no necesita tener un amplio conocimiento sobre el diseño y/o la arquitectura de un sistema, el comprender cómo funcionan nuestros productos por dentro y por fuera, y qué decisiones arquitectónicas pueden mejorar las experiencias de nuestros clientes puesde contribuir a  mejorar significativamente nuestro trabajo. En esta charla explicaré, desde mi experiencia y la de otros colegas, lo que me ha sido útil saber, como Product Manager, sobre Arquitectura de Software."
a2,"El éxito no tiene títulos: mujeres rompiendo el molde, por Nimble Gravity","Claudia Juarez 
Galilea Valle",session,h1-a-2023,10:00 - 10:40 ,2023-05-17T10:00:00-06:00,40,2023-05-17T10:40:00-06:00,,,Claudia y Galilea nos compartirán su viaje personal para llegar al mundo del software dónde han podido romper muchos moldes y pensamientos relacionados al hacer carrera en la industria.
a3,Novedades de CSS,Leslie Herrera,session,h1-a-2023,10:40 - 11:20,2023-05-17T10:40:00-06:00,40,2023-05-17T11:20:00-06:00,,,"En esta charla hablaremos un poco del state of css 2022,  que funcionalidades ya tienen uso en todos los browsers las mejoras que tenemos hasta ahora y lo que se viene a trabajar con respecto a CSS para el año 2023"
a4,"Eliminando barreras en la web: Desarrollo de sitios accesibles, por Improving ",Melisa Quesada Corza,session,h1-a-2023,11:20 - 12:00,2023-05-17T11:20:00-06:00,40,2023-05-17T12:00:00-06:00,,,"Se discutirán las mejores prácticas y herramientas para garantizar que los sitios web sean accesibles para todos los usuarios, incluyendo aquellos con discapacidades físicas, visuales o cognitivas. Además, se destacará la importancia de la accesibilidad web como una forma de garantizar la inclusión y la igualdad de acceso a la información y los servicios en línea."
a5,Pentesting: cómo y por qué?,Cristina Mariscal,session,h1-a-2023,12:00 - 12:40,2023-05-17T12:00:00-06:00,40,2023-05-17T12:40:00-06:00,,,"Debido al creciente impacto de la seguridad informática en la industria del software, en esta sesión se discutirán los conceptos claves sobre *Pentesting* con un enfoque pragmático para que cualquier persona involucrada en el proceso de desarrollo pueda incursionar en este tipo de prácticas de seguridad con herramientas OpenSource."
a6,Charla presentada por Pepsico,,session,h1-a-2023,12:40 - 13:20,2023-05-17T12:40:00-06:00,40,2023-05-17T13:20:00-06:00,,,
a7,Charla presentada por Densitylabs,,session,h1-a-2023,13:20 - 14:00,2023-05-17T13:20:00-06:00,40,2023-05-17T14:00:00-06:00,,,
a8,Las mujeres STEM ante el reto del Nearshoring,Angeles Vela,session,h1-a-2023,14:00 - 14:30,2023-05-17T14:00:00-06:00,30,2023-05-17T14:30:00-06:00,,,"Me gustaría compartir con la audiencia las grandes oportunidades que se vienen ante la presencia del Nearshoring, específicamente los retos que tendremos las mujeres en el área STEM que si sabemos aprovechar se convertirán en una gran herramienta de estrategia."
a9,Por confirmar,,session,h1-a-2023,14:30 - 15:00,2023-05-17T14:00:00-06:00,30,2023-05-17T14:30:00-06:00,,,
a10,Presentación de  comunidades + Break,,community,h1-a-2023,15:00 - 16:00,2023-05-17T15:00:00-06:00,60,2023-05-17T16:00:00-06:00,,,"Women Who Code Guatemala
X-Women
Women Techmakers México
Pyladies En Español"
a11,WebDev + WomenDev: Cómo (sobre)vivir y crecer siendo mujer en el mundo Tech,Candy Flores Gracia,session,h1-a-2023,16:00 - 16:40,2023-05-17T16:00:00-06:00,40,2023-05-17T16:40:00-06:00,,,"Esta charla está diseñada para mujeres que trabajan en el desarrollo web y la tecnología, en un mundo dominado por hombres. La charla aborda los desafíos comunes que enfrentan las mujeres en la industria, desde la falta de representación y la discriminación hasta la desigualdad salarial y la falta de oportunidades de crecimiento.

La charla ofrece consejos prácticos y estrategias para superar estos obstáculos y destacar en el trabajo. Los temas que se abordarán incluyen cómo pedir aumentos de sueldo, demostrar tu valía en el trabajo, desarrollar habilidades de liderazgo y hacer crecer tu carrera en la industria tecnológica."
a12,Hablemos de TDD,Sam Belmor,session,h1-a-2023,16:40 - 17:20,2023-05-17T16:40:00-06:00,40,2023-05-17T17:20:00-06:00,,,"Algunas vez has escuchado el término de TDD? Muchas veces he escuchado que este proceso hace más lento el proceso de desarrollo, pero es verdad esto? Por qué hacerlo agregar más valor a nuestro trabajo?  Por qué algunas empresas prefieren no hacerlo? 
Yo tenía todas estas dudas cuando empecé en el mundo de desarrollo, aquí te contaré la experiencia que he tenido a lo largo de mi carrera como software engineer desde mis inicios cuando no disfrutaba nada este proceso hasta ahora que ya disfruto hacerlo."
a13,"Crea historias de Usuario con la Técnica ""Cuenta Cuentos""",Verónica Nemecio,session,h1-a-2023,17:20 - 18:00,2023-05-17T17:20:00-06:00,40,2023-05-17T18:00:00-06:00,,,"Las Historias de Usuario nos ayudan a definir requerimientos técnicos, programar tareas y estimar proyectos.

A través de la técnica *Cuenta Cuentos* podemos identificar y definir procesos de una forma sencilla, divertida y creativa.

¿Comenzamos? , En un reino muy muy lejano, Había una vez ...."
a14,Uso de Inteligencia Artificial aplicada a UX Design,Tania Sosa,session,h1-a-2023,18:00 - 18:40,2023-05-17T18:00:00-06:00,40,2023-05-17T18:40:00-06:00,,,"En esta charla abordaré brevemente la historia de la inteligencia artificial, ¿Que es y como funciona ChatGPT? y los diversos usos que se le puede dar a la Inteligencia Artificial para desarrollar Productos Digitales y hacer UX Design de una manera mas rápida y eficiente.
Compartiré con las asistentes 'prompts' para UX Designers y también daré tips, consejos y advertencias acerca del uso que debemos tener al usar Inteligencia Artificial en nuestro trabajo."
a15,Networking,,session,h1-a-2023,19:40 - 19:40,2023-05-17T19:40:00-06:00,60,2023-05-17T20:40:00-06:00,,,"Únete al espacio de networking, contacta con speaker, patrocinadores y comunidades, pasemos un rato  "
b1,Mujeres TI vs. la diversidad e inclusión,"Sol Estrada
Yuliana Reyna
Ana Luz Loyo
Arce Requena
Loyda Luis
Mara Ruvalcaba",session,h1-b-2023,9:00 - 10:00,2023-05-18T09:00:00-06:00,60,2023-05-18T10:00:00-06:00,,," En este fireside chat comentaremos nuestra experiencias como mujeres profesionistas involucradas en TI, ante la respuesta que han tenido las organizaciones ante la falta de diversidad e inclusión. De igual manera revisaremos el estado actual del gap salarial en la industria."
b2,Sesión presentada por Honeywell,,session,h1-b-2023,10:00 - 10:40,2023-05-18T10:00:00-06:00,40,2023-05-18T10:40:00-06:00,,,
b3,Mujeres en el desarrollo de Aplicaciones Modernas,Patricia Galvan,session,h1-b-2023,10:40 - 11:20,2023-05-18T10:40:00-06:00,40,2023-05-18T11:20:00-06:00,,,"""La brecha de género en la industria de TI continúa siendo profunda, históricamente la tecnología ha sido un espacio ocupado por hombres en su mayoría.

En la actualidad, esa visión ha ido cambiando poco a poco con el esfuerzo de  mujeres creativas que se han arriesgado en el desarrollo de aplicaciones modernas. 

La mujer juega un papel fundamental que necesita ser reforzado por su motivación y participación activa en el mundo tecnológico no solo como usuarias sino como creadoras de aplicaciones modernas e innovadoras."""
b4,Sesión presentada por Twilio,,session,h1-b-2023,11:20 - 12:00,2023-05-18T11:20:00-06:00,40,2023-05-18T12:00:00-06:00,,,
b5,MEAN para todas,Sofia Videa,session,h1-b-2023,12:00 - 12:40,2023-05-18T12:00:00-06:00,40,2023-05-18T12:40:00-06:00,,,"Charla sobre el MEAN stack (Mongo, Express, Angular, Node) para la creación de aplicaciones sencillas a complejas con APIs atractivas e interesantes. Angular es un framework que permite una comunicación sencilla con el backend al recibir las peticiones y mostrarlo en frontend, que con la base de datos en Mongo hace que la comunicación sea más fluida y rápida."
b6,Sesión por confirmar,,session,h1-b-2023,12:40 - 13:20,2023-05-18T12:40:00-06:00,40,2023-05-18T13:20:00-06:00,,,
b7,Sesión por confirmar,,session,h1-b-2023,13:20 - 14:00,2023-05-18T13:20:00-06:00,40,2023-05-18T14:00:00-06:00,,,
b8,Sesión por confirmar,,workshop,h1-b-2023,14:00 - 15:00,2023-05-18T14:00:00-06:00,60,2023-05-18T15:00:00-06:00,,,
b9,burnout ... Si existe,Sol Estrada,session,h1-b-2023,15:00 - 16:00,2023-05-18T15:00:00-06:00,5,2023-05-18T15:05:00-06:00,,,"Siempre pensé que eso del *burnout* estaba muy lejos de mí, que no estaba a mi alrededor, ni en mi vocabulario y mucho menos que iba a ser una presa de ese estado e iba a transitar el momento más oscuro de mi carrera profesional."
b10,De médico a desarrolladora web: mi viaje de cambio de carrera,Alfonsina Lizardo,ignite,h1-b-2023,,2023-05-18T15:05:00-06:00,5,2023-05-18T15:10:00-06:00,,,"En esta charla, compartiré mi experiencia sobre mi cambio de carrera de médico a desarrolladora. Explicaré por qué decidí dar este paso, cómo fue mi transición al mundo de la tecnología y qué aprendí durante este proceso. También hablaré sobre las habilidades y competencias que adquirí durante mi cambio de carrera y cómo veo mi futuro como desarrolladora. Esta charla está dirigida a todas aquellas personas que estén considerando un cambio de carrera o que simplemente quieran conocer mi experiencia."
b11,De sobrevivir a la violencia al cambio de carrera a Tech,Karen Sánchez,ignite,h1-b-2023,,2023-05-18T15:10:00-06:00,5,2023-05-18T15:15:00-06:00,,,"Compartiré mi experiencia como sobreviviente de violencia familiar, mi paso por Psicología y trabajar actualmente como Senior Technical Recruiter lo que me llevó a interesarme en tecnología para después ingresar a un bootcamp para ser DataScientist Junior en una empresa de producto de Estados Unidos."
b12,Experiencia en desarrollo con ETL on-premise y nube,Maria Paula Pinzon Cardozo,ignite,h1-b-2023,,2023-05-18T15:15:00-06:00,5,2023-05-18T15:20:00-06:00,,,"En este espacio voy a compartir al publico la experiencia que he tenido en el ámbito laboral al trabajar con desarrollos de ETL en entornos on-premise y en nube, ventajas y desventajas, además de las oportunidades de aprendizaje personal que he tenido."
b13,Como la investigación de usuarios puede ayudarnos a ahorrar más de un millón de pesos,Karina Mosqueda,ignite,h1-b-2023,,2023-05-18T15:20:00-06:00,5,2023-05-18T15:25:00-06:00,,,"El objetivo de la charla es contarles a las asistentes un caso en el que colabore como líder y que representa un buen ejemplo de como la investigación de usuarios contribuyó  a que el negocio se ahorrara más de un millón de pesos en un proyecto, disminuyera los tiempos de desarrollo y enfocará sus esfuerzos en desarrollar funcionalidades deseables para los clientes finales"
b14,El networking y el trabajo de tu vida,Mariana Maper,ignite,h1-b-2023,,2023-05-18T15:25:00-06:00,5,2023-05-18T15:30:00-06:00,,,"La teoría de Bacon, se enfoca que en tenemos los “seis grados (o seis personas) de separación” con cualquier persona del mundo en promedio, eso quiere decir que el reclutador de la empresa a la que quieres entrar, ese personaje que tanto admiras, el profesionista que tanto admiras estaría a 6 personas de distancia... ¿qué necesitarías hacer para conocer a esas personas? ¿para entrar al trabajo de tus sueños? La respuesta es: networking."
b15,Mujeres indígenas en TI,Karla Itzel Aguilar Ortiz,ignite,h1-b-2023,,2023-05-18T15:30:00-06:00,5,2023-05-18T15:35:00-06:00,,,"Hola soy una mujer originaria del istmo de Tehuantepec del estado de Oaxaca de una comunidad donde nuestra lengua materna es el mixe, como muchas tuve que salir de mi comunidad para poder cursar una Ingeniería, mi mensaje es que podemos romper paradigmas y estereotipos sociales, motivar a cientos de mujeres a que confíen en ellas, que hay muchos cursos gratuitos, que no importa la universidad, estado de donde proveengas la actitud de querer aprender, de saber escuchar nos abren muchas puertas."
b16,Autoconocimiento: El camino hacia la felicidad consciente en la vida y en el trabajo,Valerie De la Peña,ignite,h1-b-2023,,2023-05-18T15:35:00-06:00,5,2023-05-18T15:40:00-06:00,,,"En esta charla, descubrirás el poder del autoconocimiento como clave para el éxito en la industria tecnológica, así como para alcanzar una felicidad consciente. Te mostraré los primeros pasos para que comiences a aprender a estar contigo misma, a conocer tus fortalezas y debilidades, y a identificar tus objetivos, para que puedas tomar decisiones que te lleven a la felicidad en tu vida personal y en tu carrera en la industria tech."
b17,Reinventando el aprendizaje con las IA,Zaira Ruth Zuviría López,ignite,h1-b-2023,,2023-05-18T15:40:00-06:00,5,2023-05-18T15:45:00-06:00,,,"Ya sea en la nube, en forma de aplicación o como una API, la Inteligencia Artificial ha generado cientos de consultas por diversión, para realizar tareas, resolver ejercicios, generar ideas, repasar conceptos entre muchas otras actividades. ¿Será que las IA disponibles solo son proveedoras de información o realmente acortarán la curva de aprendizaje en el aula?."
b18,5 cosas que aprendí liderando una comunidad de mujeres en tecnología,Ivonne Aldana,ignite,h1-b-2023,,2023-05-18T15:45:00-06:00,5,2023-05-18T15:50:00-06:00,,,"En mi experiencia como co-directora de la comunidad Women Who Code Guatemala, he aprendido cinco lecciones valiosas que me gustaría compartir. Unirme a una comunidad me ha ayudado a desafiar mis creencias limitantes gracias a la ayuda de las voluntarias, he visto la importancia de crear espacios seguros donde las mujeres puedan compartir sus historias y apoyarse mutuamente.  En esta charla reflexiono sobre la importancia de la empatía y tener una mindset de escucha y colaboración para liderar con éxito en una comunidad de mujeres en tecnología."
b19,¿Quién va a facilitar esta reunión?,Yanet Morales Ramirez,session,h1-b-2023,16:00 - 16:40,2023-05-18T16:00:00-06:00,40,2023-05-18T16:40:00-06:00,,,¿Debe ser el Scrum Master el facilitador de cada reunión de equipo? ¿Qué dice Scrum al respecto? ¿Cómo puedo mejorar mis habilidades de facilitación? ¿Cómo identificar una reunión bien facilitada? Estas y otras preguntas serán respondidas en esta charla.
b20,Información para la toma de decisiones,Luz Barrientos,session,h1-b-2023,16:40 - 17:20,2023-05-18T16:40:00-06:00,40,2023-05-18T17:20:00-06:00,,,"Es importante entender que hoy en día la toma de decisiones estratégicas en una empresa debe basarse en información que se puede recopilar de encuestas, redes sociales, comportamientos de los clientes/usuarios, utilizando AI y ML que son herramientas que se pueden utilizar sin invertir grandes cantidades de dinero."
b20,Cómo iniciar tu camino en Big Data,Barbara Gayosa Trebejo,session,h1-b-2023,17:20 - 18:00,2023-05-18T17:20:00-06:00,40,2023-05-18T18:00:00-06:00,,,"¿Cómo iniciar tu camino en Big Data?
Actualmente contamos con una amplia gama de herramientas como plataformas e-learning (Udemy), redes sociales (Linkedin),etc; que te ayudaran a desarrollarte laboralmente en Big Data; sin embargo, hay algunos pasos necesarios que debes seguir si tu intención es tener una línea de carrera en ese tema. Lo primero que debes saber es: ¿Qué es Big Data?, ¿Qué clase de rol quiero tener?, ¿En qué industria me gustaría trabajar?,¿Qué casos de uso hay en Big Data?, ¿Qué herramientas debo aprender?, ¿ Big Data en On-Premise o Cloud?. La charla responderá a todas esas interrogantes."
b21,Quiero hacer videojuegos,Dazia Pineda,session,h1-b-2023,18:00 - 18:40,2023-05-18T18:00:00-06:00,40,2023-05-18T18:40:00-06:00,,,"El sueño de muchas personas siempre ha sido hacer videojuegos, pero a veces lo vemos como algo lejano o imposible.
En estos 30min exploraremos algunos de los puestos que buscan empresas de videojuegos en México y el extranjero. Además les daré tips para que lo logren."
b22,Cierre + rifa,,session,h1-b-2023,18:40 - 18:50,2023-05-18T18:10:00-06:00,10,2023-05-18T18:20:00-06:00,,,